day_date,start,end,duration_min,room,title,type,track,speakers,url,event_id,guid
2025-09-24,2025-09-24T09:00:00+02:00,2025-09-24T10:30:00+02:00,90,Katherine Johnson @ TNW City,Next-Level Retrieval in RAG: Techniques and Tools for Enhanced Performance,Tutorial,,"Mahima Arora, Aarti Jha",https://cfp.pydata.org/pydata-amsterdam-2025/talk/BTDWCM/,77812,dffc7442-d29d-594b-8704-c6d2d7a20702
2025-09-24,2025-09-24T09:00:00+02:00,2025-09-24T10:30:00+02:00,90,Margaret Hamilton @ TNW City,Meet Docling: The “Pandas” for document AI,Tutorial,,"Mingxuan Zhao, Panos Vagenas",https://cfp.pydata.org/pydata-amsterdam-2025/talk/TXJASY/,77831,713fde81-2676-57d5-b88c-7d2f46d82794
2025-09-24,2025-09-24T10:50:00+02:00,2025-09-24T12:20:00+02:00,90,Katherine Johnson @ TNW City,Building AI Agents With Observability Tooling in PyCharm,Tutorial,,"Yaroslav Sokolov, Lenar Sharipov",https://cfp.pydata.org/pydata-amsterdam-2025/talk/8WVBMB/,79192,5e182b8a-b82f-5a34-a265-09ce7ce7f825
2025-09-24,2025-09-24T10:50:00+02:00,2025-09-24T12:20:00+02:00,90,Margaret Hamilton @ TNW City,Understand your data with Knowledge Graphs,Tutorial,,Martin O'Hanlon,https://cfp.pydata.org/pydata-amsterdam-2025/talk/UDDNM7/,77828,29c283f9-df06-5958-b6c8-23c91118d581
2025-09-24,2025-09-24T13:20:00+02:00,2025-09-24T14:50:00+02:00,90,Katherine Johnson @ TNW City,"Bridging the Gap: Building Robust, Tool-Integrated LLM Applications with the Model Context Protocol",Tutorial,,"Adam Hill, Shourya Sharma",https://cfp.pydata.org/pydata-amsterdam-2025/talk/JDSRL8/,77612,3261c935-b420-5faa-9a2d-2deabf08cbd9
2025-09-24,2025-09-24T13:20:00+02:00,2025-09-24T14:50:00+02:00,90,Margaret Hamilton @ TNW City,Grounding LLMs on Solid Knowledge: Assessing and Improving Knowledge Graph Quality in GraphRAG Applications,Tutorial,,Panos Alexopoulos,https://cfp.pydata.org/pydata-amsterdam-2025/talk/QEATWZ/,77814,42594c1e-2557-540d-8b22-d18f5b490f2b
2025-09-24,2025-09-24T15:10:00+02:00,2025-09-24T16:40:00+02:00,90,Katherine Johnson @ TNW City,Event-Driven AI Agent Workflows with Dapr,Tutorial,,"Dana Arsovska, Marc Duiker",https://cfp.pydata.org/pydata-amsterdam-2025/talk/7HAHPW/,77813,53e045d1-ec4b-55e2-ba3a-94614ff66e10
2025-09-24,2025-09-24T15:10:00+02:00,2025-09-24T16:40:00+02:00,90,Margaret Hamilton @ TNW City,Listen: A Practical Introduction to Data Sonification,Tutorial,,Tomek Roszczynialski,https://cfp.pydata.org/pydata-amsterdam-2025/talk/KNBLMD/,77815,e2482e6b-e71f-596e-ae95-d2c49dcb071c
2025-09-25,2025-09-25T09:00:00+02:00,2025-09-25T09:30:00+02:00,30,Apollo,Opening notes,Opening notes,,,https://cfp.pydata.org/pydata-amsterdam-2025/talk/CRRXUP/,77051,37eda411-b331-530d-a77d-49a4fb2b4c07
2025-09-25,2025-09-25T09:30:00+02:00,2025-09-25T10:20:00+02:00,50,Apollo,The agentification of software (has a UX problem),Keynote,,Demetrios Brinkmann,https://cfp.pydata.org/pydata-amsterdam-2025/talk/GMSVMT/,77528,5382ea5b-51ec-5d66-a388-98ca95f232fb
